filename,width,height,class,xmin,ymin,xmax,ymax
ID06_016_bmp.rf.8c0f31d40aec91a86cc5f55ab710a8b5.jpg,416,416,face,181,90,278,279
ID36_011_bmp.rf.8af16e0b57bb69063a89810b367ee3ce.jpg,416,416,face,117,142,221,323
ID23_028_bmp.rf.8bb3863ba30c8ca0abb15ea3c32b04c2.jpg,416,416,face,117,114,235,319
ID31_018_bmp.rf.8c59b54fae48ae50d9fa6e6209a7e98c.jpg,416,416,face,231,94,307,264
ID13_017_bmp.rf.8b76b6f9c5df3a735298a3e94aa15b02.jpg,416,416,face,239,85,346,281
ID15_021_bmp.rf.8d01329adc40b6a050d4af36408e8a37.jpg,416,416,face,117,89,234,298
ID26_028_bmp.rf.8b3c91538ee612200fa1620efeb15792.jpg,416,416,face,143,90,247,271
ID24_001_bmp.rf.8bd94b4bb5c37efa864a370e1a983a6d.jpg,416,416,face,140,77,255,285
ID22_025_bmp.rf.8b3ac6f82f08097c8f79cd986a52423c.jpg,416,416,face,185,108,295,297
ID28_015_bmp.rf.8b52864b34355969c29121ef77eb707c.jpg,416,416,face,209,108,321,298
ID26_002_bmp.rf.8b7ad4b0b24accceceea1431307e7aba.jpg,416,416,face,150,82,262,290
ID23_034_bmp.rf.8bcc1927c881d9d5c03cc071381b1c5c.jpg,416,416,face,156,111,264,296
ID28_032_bmp.rf.8b1212ca81f6558019d000abb00e750a.jpg,416,416,face,146,110,259,323
ID21_039_bmp.rf.8eeeb774d851baff0d5f25cc8fc427ca.jpg,416,416,face,143,123,247,305
ID18_013_bmp.rf.8e2227746d50e38e05ff64929ebf9791.jpg,416,416,face,81,101,195,310
ID28_005_bmp.rf.8ea7b75bb217f67270be53d4e944e334.jpg,416,416,face,78,106,146,293
ID38_036_bmp.rf.8d08b2a9b260b94cce34c7da9c5fc158.jpg,416,416,face,162,201,268,371
ID19_029_bmp.rf.8ea33728500b663c21f3ba42b5ee07b2.jpg,416,416,face,152,116,252,302
ID03_044_bmp.rf.8aecad77315c0ee2969ab3de1a8074fc.jpg,416,416,face,148,94,290,333
ID40_019_bmp.rf.8dae81f744bc287dbc14b4b69874ab3f.jpg,416,416,face,161,97,260,277
ID08_024_bmp.rf.8f2aeb7ef1be6d06f897318412d03edf.jpg,416,416,face,181,82,299,272
ID41_002_bmp.rf.8de545df3e2f4b3b0c9185a3113eb2a1.jpg,416,416,face,139,130,271,362
ID43_004_bmp.rf.8b11a2f5945e78f6c7aa5ca9b1515e40.jpg,416,416,face,90,102,186,300
ID26_031_bmp.rf.8ec9585b8619f15d837906b277add68e.jpg,416,416,face,171,97,277,319
ID37_023_bmp.rf.8e9db2ab49c8060d48848478941b8489.jpg,416,416,face,35,92,85,275
ID32_031_bmp.rf.8f5cd7822b39ca4e44a7c4bc75e4ff77.jpg,416,416,face,152,61,267,286
ID43_011_bmp.rf.9051eb043f2ddd696309f34dc8bb2759.jpg,416,416,face,155,101,259,297
ID34_030_bmp.rf.911002bd534f9ebb6a446a1dffe0ef8d.jpg,416,416,face,180,170,271,333
ID02_027_bmp.rf.8fa3be8742886de52072e2dada27e3d8.jpg,416,416,face,289,106,381,328
ID17_006_bmp.rf.9056bd8ce7eb2ca483749c165ab747aa.jpg,416,416,face,143,99,261,296
ID09_011_bmp.rf.8ff2946055de5b7727a280d4aabee3dc.jpg,416,416,face,116,109,233,298
ID14_035_bmp.rf.8fa942be5ac1a61953f845557d09a75f.jpg,416,416,face,152,90,269,288
ID28_018_bmp.rf.937a509039a3d15dfa8ed5da771a81d7.jpg,416,416,face,212,116,285,297
ID36_018_bmp.rf.8f86d8ea6864c0561e51405d308b3bd3.jpg,416,416,face,229,130,304,303
ID40_024_bmp.rf.90c7d4bcaa2547a3fa7d87cc22864146.jpg,416,416,face,152,107,247,288
ID07_025_bmp.rf.8f64ff77c3456742d7a9c351fd19c35f.jpg,416,416,face,247,83,352,283
ID06_002_bmp.rf.9318cf63d893d525525957105cc7177b.jpg,416,416,face,147,90,249,274
ID13_021_bmp.rf.91636fc7a6bbdba5f35d58e8f9edc0c9.jpg,416,416,face,129,87,242,276
ID29_032_bmp.rf.928959d0a3967bcdeb314b9e7de0477c.jpg,416,416,face,120,152,224,319
ID20_013_bmp.rf.935a2d4a78032514abb90855f52dcfa3.jpg,416,416,face,78,76,178,286
ID44_034_bmp.rf.9062c6e4e805d44aeed840a0c6b72472.jpg,416,416,face,128,61,236,258
ID10_002_bmp.rf.9265ef1bffa60549accb381163bf360d.jpg,416,416,face,142,115,252,304
ID21_007_bmp.rf.9370f5d58df4a7b4cea96a3a3a09b5f8.jpg,416,416,face,216,118,311,300
ID28_019_bmp.rf.932f7b94df2b0c3da131fb118efafa99.jpg,416,416,face,147,102,261,298
ID04_016_bmp.rf.92259096b84acc25e39e8cf58df0382b.jpg,416,416,face,166,111,299,338
ID08_004_bmp.rf.91a983848d5caee209c09ced059edcf1.jpg,416,416,face,98,94,189,267
ID35_028_bmp.rf.90b3c35dd33e925e3e78765ed864d835.jpg,416,416,face,134,55,278,312
ID23_025_bmp.rf.9463b10094d9bed4f3f223ce24c2ea99.jpg,416,416,face,226,108,334,311
ID21_006_bmp.rf.9356625788b1798d26ec87ddcdabe4ff.jpg,416,416,face,194,120,291,303
ID44_001_bmp.rf.92ac95f1da5328d88d7760367e065f9f.jpg,416,416,face,171,52,284,253
ID29_015_bmp.rf.91ac64bdf628cf0095af30f5807a9b8e.jpg,416,416,face,139,137,246,303
ID02_012_bmp.rf.940db30116bc422f3f070f1313328b5c.jpg,416,416,face,152,99,268,331
ID27_015_bmp.rf.93e3f5b4924ea1f5399d3ad1572c1ec6.jpg,416,416,face,171,69,277,260
ID13_010_bmp.rf.9387caaa078ed39bcca899ff5c274a46.jpg,416,416,face,143,87,261,276
ID04_009_bmp.rf.940ca2504093fe7bd6db90481ca5bf15.jpg,416,416,face,229,101,330,323
ID35_031_bmp.rf.96556a3123dbad2d48c1894f5d83ac1f.jpg,416,416,face,137,75,278,328
ID15_003_bmp.rf.93b78575805036de35db029e79021f75.jpg,416,416,face,128,101,245,302
ID19_030_bmp.rf.93dd5ef537087c704db898d768546679.jpg,416,416,face,213,125,319,314
ID38_011_bmp.rf.94fbc78413e797c5a5e9d9941866f333.jpg,416,416,face,123,139,232,322
ID42_030_bmp.rf.977d3b2ace85346dc04598bfef24fda7.jpg,416,416,face,150,83,276,345
ID27_017_bmp.rf.963c607ac891a09d54e1449918246545.jpg,416,416,face,178,71,267,257
